species,cultivar,location,climatic_classification,climatic_data,year,dormancy_break_field,breaking_dormancy_40_baggiolini,begin_flowering_f5,flowering_f50,flowering_f90,end_flowering,ripening,bud_drop,flower_anomaly,spring_frost_damage,productivity,fruit_quality,rootstock,plantation_framework,training_system,irrigation_system,source,comment
Apricot,Pandora,Zaragoza/Spain,Arid Cold steppe ,Yes,1999,,,,6-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Pandora,Zaragoza/Spain,Arid Cold steppe ,Yes,2000,,,,28-Feb,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Pandora,Zaragoza/Spain,Arid Cold steppe ,Yes,2001,,,,7-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Pandora,Zaragoza/Spain,Arid Cold steppe ,Yes,2002,,,,28-Feb,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Pandora,Zaragoza/Spain,Arid Cold steppe ,Yes,2003,,,,9-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Pandora,Zaragoza/Spain,Arid Cold steppe ,Yes,2004,,,,5-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Pandora,Zaragoza/Spain,Arid Cold steppe ,Yes,2005,,,,18-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Pandora,Zaragoza/Spain,Arid Cold steppe ,Yes,2006,,,,8-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Pandora,Zaragoza/Spain,Arid Cold steppe ,Yes,2009,,,,2-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Pandora,Zaragoza/Spain,Arid Cold steppe ,Yes,2010,,,,11-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Pandora,Zaragoza/Spain,Arid Cold steppe ,Yes,2011,,,,2-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Pandora,Zaragoza/Spain,Arid Cold steppe ,Yes,2012,,,,9-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Pandora,Zaragoza/Spain,Arid Cold steppe ,Yes,2013,,,,11-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Pandora,Zaragoza/Spain,Arid Cold steppe ,Yes,2014,,,,28-Feb,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Pandora,Zaragoza/Spain,Arid Cold steppe ,Yes,2015,,,,12-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Pandora,Zaragoza/Spain,Arid Cold steppe ,Yes,2016,,,,23-Feb,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Pandora,Zaragoza/Spain,Arid Cold steppe ,Yes,2017,,,,24-Feb,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Pandora,Zaragoza/Spain,Arid Cold steppe ,Yes,2018,,,,8-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Pandora,Zaragoza/Spain,Arid Cold steppe ,Yes,2019,,,,28-Feb,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Pandora,Zaragoza/Spain,Arid Cold steppe ,Yes,2020,,,,24-Feb,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Pandora,Zaragoza/Spain,Arid Cold steppe ,Yes,2021,,,,24-Feb,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Pandora,Zaragoza/Spain,Arid Cold steppe ,Yes,2022,,,,28-Feb,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Stark E. Orange,Zaragoza/Spain,Arid Cold steppe ,Yes,1999,,,,9-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Stark E. Orange,Zaragoza/Spain,Arid Cold steppe ,Yes,2000,,,,29-Feb,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Stark E. Orange,Zaragoza/Spain,Arid Cold steppe ,Yes,2001,,,,21-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Stark E. Orange,Zaragoza/Spain,Arid Cold steppe ,Yes,2002,,,,28-Feb,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Stark E. Orange,Zaragoza/Spain,Arid Cold steppe ,Yes,2003,,,,19-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Stark E. Orange,Zaragoza/Spain,Arid Cold steppe ,Yes,2004,,,,20-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Stark E. Orange,Zaragoza/Spain,Arid Cold steppe ,Yes,2005,,,,19-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Stark E. Orange,Zaragoza/Spain,Arid Cold steppe ,Yes,2006,,,,11-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Stark E. Orange,Zaragoza/Spain,Arid Cold steppe ,Yes,2009,,,,6-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Stark E. Orange,Zaragoza/Spain,Arid Cold steppe ,Yes,2010,,,,20-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Stark E. Orange,Zaragoza/Spain,Arid Cold steppe ,Yes,2011,,,,10-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Stark E. Orange,Zaragoza/Spain,Arid Cold steppe ,Yes,2012,,,,16-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Stark E. Orange,Zaragoza/Spain,Arid Cold steppe ,Yes,2013,,,,26-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Stark E. Orange,Zaragoza/Spain,Arid Cold steppe ,Yes,2014,,,,16-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Stark E. Orange,Zaragoza/Spain,Arid Cold steppe ,Yes,2015,,,,16-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Stark E. Orange,Zaragoza/Spain,Arid Cold steppe ,Yes,2016,,,,1-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Stark E. Orange,Zaragoza/Spain,Arid Cold steppe ,Yes,2017,,,,2-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Stark E. Orange,Zaragoza/Spain,Arid Cold steppe ,Yes,2018,,,,23-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Stark E. Orange,Zaragoza/Spain,Arid Cold steppe ,Yes,2019,,,,6-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Stark E. Orange,Zaragoza/Spain,Arid Cold steppe ,Yes,2020,,,,15-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Stark E. Orange,Zaragoza/Spain,Arid Cold steppe ,Yes,2021,,,,16-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Stark E. Orange,Zaragoza/Spain,Arid Cold steppe ,Yes,2022,,,,6-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Berdejo,Zaragoza/Spain,Arid Cold steppe ,Yes,2004,,,,25-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Berdejo,Zaragoza/Spain,Arid Cold steppe ,Yes,2005,,,,21-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Berdejo,Zaragoza/Spain,Arid Cold steppe ,Yes,2006,,,,13-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Berdejo,Zaragoza/Spain,Arid Cold steppe ,Yes,2009,,,,9-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Berdejo,Zaragoza/Spain,Arid Cold steppe ,Yes,2010,,,,20-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Berdejo,Zaragoza/Spain,Arid Cold steppe ,Yes,2011,,,,10-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Berdejo,Zaragoza/Spain,Arid Cold steppe ,Yes,2012,,,,15-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Berdejo,Zaragoza/Spain,Arid Cold steppe ,Yes,2013,,,,13-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Berdejo,Zaragoza/Spain,Arid Cold steppe ,Yes,2014,,,,10-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Berdejo,Zaragoza/Spain,Arid Cold steppe ,Yes,2015,,,,18-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Berdejo,Zaragoza/Spain,Arid Cold steppe ,Yes,2016,,,,2-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Berdejo,Zaragoza/Spain,Arid Cold steppe ,Yes,2017,,,,3-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Berdejo,Zaragoza/Spain,Arid Cold steppe ,Yes,2018,,,,17-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Berdejo,Zaragoza/Spain,Arid Cold steppe ,Yes,2019,,,,4-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Berdejo,Zaragoza/Spain,Arid Cold steppe ,Yes,2020,,,,27-Feb,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Berdejo,Zaragoza/Spain,Arid Cold steppe ,Yes,2021,,,,6-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Berdejo,Zaragoza/Spain,Arid Cold steppe ,Yes,2022,,,,4-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Veecot,Zaragoza/Spain,Arid Cold steppe ,Yes,1999,,,,4-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Veecot,Zaragoza/Spain,Arid Cold steppe ,Yes,2000,,,,26-Feb,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Veecot,Zaragoza/Spain,Arid Cold steppe ,Yes,2001,,,,5-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Veecot,Zaragoza/Spain,Arid Cold steppe ,Yes,2002,,,,27-Feb,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Veecot,Zaragoza/Spain,Arid Cold steppe ,Yes,2003,,,,8-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Veecot,Zaragoza/Spain,Arid Cold steppe ,Yes,2004,,,,20-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Veecot,Zaragoza/Spain,Arid Cold steppe ,Yes,2005,,,,18-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Veecot,Zaragoza/Spain,Arid Cold steppe ,Yes,2006,,,,8-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Veecot,Zaragoza/Spain,Arid Cold steppe ,Yes,2009,,,,2-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Veecot,Zaragoza/Spain,Arid Cold steppe ,Yes,2010,,,,11-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Veecot,Zaragoza/Spain,Arid Cold steppe ,Yes,2011,,,,2-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Veecot,Zaragoza/Spain,Arid Cold steppe ,Yes,2012,,,,9-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Veecot,Zaragoza/Spain,Arid Cold steppe ,Yes,2013,,,,10-Mar,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
Apricot,Veecot,Zaragoza/Spain,Arid Cold steppe ,Yes,2014,,,,28-Feb,,,,,,,,,seedling,3x5,Spanish bush,Drip irrigation,Own data,
